index,type,label,quote
,train,life,The purpose of our lives is to be happy.
,train,life,"Not how long, but how well you have lived is the main thing."
,train,life,"There may be people who have more talent than you, but there’s no excuse for anyone to work harder than you do – and I believe that."
,train,life,"Don't be afraid to fail. It's not the end of the world, and in many ways, it's the first step toward learning something and getting better at it."
,train,life,"Life is very interesting… in the end, some of your greatest pains, become your greatest strengths."
,train,life,"I think if you live in a black-and-white world, you’re gonna suffer a lot. I used to be like that. But I don’t believe that anymore."
,train,life,"I don’t believe in happy endings, but I do believe in happy travels, because ultimately, you die at a very young age, or you live long enough to watch your friends die. It’s a mean thing, life."
,train,life,"It’s never too late – never too late to start over, never too late to be happy."
,train,life,"You’re only human. You live once and life is wonderful, so eat the damned red velvet cupcake."
,train,life,A lot of people give up just before they’re about to make it. You know you never know when that next obstacle is going to be the last one.
,train,life,"Be nice to people on the way up, because you may meet them on the way down."
,train,life,"I believe you make your day. You make your life. So much of it is all perception, and this is the form that I built for myself. I have to accept it and work within those compounds, and it’s up to me."
,train,life,"If life were predictable it would cease to be life, and be without flavor."
,train,life,The minute that you’re not learning I believe you’re dead.
,train,life,"Life’s tough, but it’s tougher when you’re stupid."
,train,life,"Take up one idea. Make that one idea your life -- think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body be full of that idea, and just leave every other idea alone. This is the way to success."
,train,life,"I guess it comes down to a simple choice, really. Get busy living or get busy dying."
,train,life,"When we strive to become better than we are, everything around us becomes better too."
,train,life,"There are three things you can do with your life: You can waste it, you can spend it, or you can invest it. The best use of your life is to invest it in something that will last longer than your time on Earth."
,train,life,"You only pass through this life once, you don't come back for an encore."
,train,life,"In the long run, the sharpest weapon of all is a kind and gentle spirit."
,train,life,"You're not defined by your past; you're prepared by it. You're stronger, more experienced, and you have greater confidence."
,train,life,"We become not a melting pot but a beautiful mosaic. Different people, different beliefs, different yearnings, different hopes, different dreams."
,train,life,"The whole secret of a successful life is to find out what is one’s destiny to do, and then do it."
,train,life,Nothing is more honorable than a grateful heart.
,train,life,"Once you figure out who you are and what you love about yourself, I think it all kinda falls into place."
,train,life,Happy is the man who can make a living by his hobby.
,train,life,"Just disconnect. Once in a day sometime, sit silently and from all connections disconnect yourself."
,train,life,Be where you are; otherwise you will miss your life.
,train,life,"Living an experience, a particular fate, is accepting it fully."
,train,life,"The more you praise and celebrate your life, the more there is in life to celebrate."
,train,life,Your image isn’t your character. Character is what you are as a person.
,train,life,"Football is like life, it requires perseverance, self-denial, hard work sacrifice, dedication and respect for authority."
,train,life,"As you know, life is an echo; we get what we give."
,train,life,In order to write about life first you must live it.
,train,life,"There are no regrets in life, just lessons."
,train,life,I believe that nothing in life is unimportant every moment can be a beginning.
,train,life,Find people who will make you better.
,train,life,As my knowledge of things grew I felt more and more the delight of the world I was in.
,train,life,Benjamin Franklin was a humanitarian that dedicated his life to making contributions to all humans. He had a clear purpose for himself: improve the human race.
,train,life,You cannot control everything that happens to you; you can only control the way you respond to what happens. In your response is your power.
,train,life,Don’t allow your past or present condition to control you. It’s just a process that you’re going through to get you to the next level.
